code,name,qualification_index,income,cx,cy,,,,,,,
E07000039,South Derbyshire,140,"2,203",33.84290023,27.82025677,,,,,,,
E06000025,South Gloucestershire,103,"6,345",27.17319923,12.74891879,,,,,,,
E07000044,South Hams,45,"2,207",21.07705565,4.098467315,,,,,,,
E07000140,South Holland,324,"1,774",45.02947329,29.65132797,,,,,,,
E07000141,South Kesteven,179,"3,098",44.1412052,29.9093622,,,,,,,
E07000149,South Norfolk,164,"3,067",52.0301029,25.72215577,,,,,,,
E07000179,South Oxfordshire,33,"4,392",31.98173942,15.26799566,,,,,,,
E07000196,South Staffordshire,213,"2,443",27.25611564,26.79343881,,,,,,,
E08000023,South Tyneside,247,"2,484",33.88856415,49.82188842,,,,,,,
E06000045,Southampton,149,"4,453",33.50598535,6.62809164,,,,,,,
E06000033,Southend-on-Sea,257,"3,937",52.56335395,17.73798158,,,,,,,
E09000028,Southwark,13,"9,390",45.39598536,12.64625081,,,,,,,
E07000213,Spelthorne,160,"2,588",41.16301808,8.558766937,,,,,,,
E07000240,St Albans,9,"4,893",42.06390438,19.2105656,,,,,,,
E07000197,Stafford,110,"2,861",28.1087729,27.96952663,,,,,,,
E07000198,Staffordshire Moorlands,224,"1,892",28.91344652,29.68777128,,,,,,,
E07000243,Stevenage,207,"1,759",43.36587639,19.77932935,,,,,,,
E06000004,Stockton-on-Tees,196,"3,501",36.41917393,43.81431654,,,,,,,
E06000021,Stoke-on-Trent,322,"3,960",28.00423888,29.5004939,,,,,,,
E07000221,Stratford-on-Avon,63,"3,744",33.86787992,19.59921052,,,,,,,
E07000082,Stroud,58,"2,891",27.34169587,15.28767255,,,,,,,
E08000024,Sunderland,291,"4,571",33.9186544,48.7135451,,,,,,,
E07000214,Surrey Heath,57,"2,618",39.54676751,8.349759968,,,,,,,
E09000029,Sutton,74,"5,008",42.85859015,10.02107357,,,,,,,
E07000113,Swale,298,"3,112",52.67169006,8.948356679,,,,,,,
W06000011,Swansea,155,"4,186",17.04311272,15.93598322,,,,,,,
E06000030,Swindon,227,"4,572",29.98836407,12.03639385,,,,,,,
E07000199,Tamworth,307,"1,386",30.33876226,26.72921237,,,,,,,
E07000215,Tandridge,78,"2,636",44.45670936,8.018729178,,,,,,,
E07000045,Teignbridge,132,"2,898",21.41933255,5.299579288,,,,,,,
E06000020,Telford and Wrekin,258,"3,310",24.0498642,25.93257121,,,,,,,
E07000076,Tendring,327,"2,994",53.40479489,20.11836901,,,,,,,
E07000093,Test Valley,92,"3,250",33.63661468,7.873181078,,,,,,,
E07000083,Tewkesbury,89,"2,060",27.34296833,17.11183274,,,,,,,
E07000114,Thanet,276,"2,821",55.07398669,8.530827497,,,,,,,
E07000102,Three Rivers,40,"2,813",39.95561228,17.79699625,,,,,,,
E06000034,Thurrock,285,"3,568",49.50989622,17.63244748,,,,,,,
E07000115,Tonbridge and Malling,142,"3,320",49.81548285,8.336616924,,,,,,,
E06000027,Torbay,263,"2,647",22.08234595,4.41894882,,,,,,,
W06000020,Torfaen,271,"1,554",23.04739841,15.90713706,,,,,,,
E07000046,Torridge,242,"1,306",20.53778616,6.760486085,,,,,,,
E09000030,Tower Hamlets,27,"9,002",46.27634921,14.039253,,,,,,,
E07000116,Tunbridge Wells,50,"3,363",49.83028406,7.364408298,,,,,,,
E07000077,Uttlesford,84,"2,534",49.65151688,20.37106513,,,,,,,
W06000014,Vale of Glamorgan,91,"2,830",19.85380042,13.75901975,,,,,,,
E07000180,Vale of White Horse,31,"3,536",30.65356431,15.28480921,,,,,,,
E08000036,Wakefield,305,"6,389",38.74633526,37.3280256,,,,,,,
E08000030,Walsall,323,"4,564",28.17505986,25.20877899,,,,,,,
E09000031,Waltham Forest,85,"6,768",47.68321375,16.209509,,,,,,,
E09000032,Wandsworth,2,"13,528",42.35143148,12.32754321,,,,,,,
E07000222,Warwick,24,"3,639",34.28507512,20.29710787,,,,,,,
E07000103,Watford,75,"2,294",40.9378981,17.91073892,,,,,,,
E07000216,Waverley,19,"4,376",39.65814493,6.625751211,,,,,,,
E07000065,Wealden,129,"4,207",48.19312824,5.861372104,,,,,,,
E07000241,Welwyn Hatfield,72,"2,856",43.06863649,18.83649957,,,,,,,
E06000037,West Berkshire,86,"4,323",32.41081966,11.83740101,,,,,,,
E07000047,West Devon,119,"1,195",20.85944196,6.065081027,,,,,,,
E07000142,West Lindsey,197,"1,957",44.38770116,32.67586747,,,,,,,
E06000062,West Northamptonshire,177,"9,175",38.42177213,22.95072217,,,,,,,
E07000181,West Oxfordshire,67,"3,083",30.86492261,16.78906787,,,,,,,
